Date,"San Francisco, California","Hillsborough, Florida","Cook, Illinois","New York, New York","Harris, Texas","Wayne, Michigan","King, Washington","Suffolk, Massachusetts","Milwaukee, Wisconsin","Ontario, Canada",Italy,Spain,France,Germany,United Kingdom,Norway,Sweden,Iran,Turkey,"Beijing, China","Hubei, China","Korea, South",Malaysia,"New South Wales, Australia"
3/3/20,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.11111111111111116,0.22888015717092336,0.375,0.0680628272251309,0.23270440251572322,0.2749999999999999,0.28,0.3999999999999999,0.5562958027981346,0.0,0.0,0.0016988808250004706,0.19630911188004618,0.24137931034482762,1.1666666666666665
3/4/20,0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.0,0.0,0.0,0.23461231015187844,0.34545454545454546,0.3970588235294117,0.33673469387755106,0.6666666666666667,0.75,0.6666666666666667,0.2508561643835616,0.0,0.009661835748792313,0.0017108767127362867,0.08387967605090618,0.38888888888888884,0.6923076923076923
3/5/20,0.0,0.0,0.25,3.0,0.0,0.0,0.6451612903225807,0.0,0.0,0.10000000000000009,0.24894787957267717,0.16666666666666674,0.32280701754385954,0.8396946564885497,0.3529411764705883,0.5535714285714286,1.6857142857142855,0.20225872689938407,0.0,0.0,0.001990138418582532,0.08308130225938437,0.0,0.0
3/6/20,0.0,0.0,0.0,1.75,0.5,0.0,0.13725490196078427,2.0,0.0,0.13636363636363646,0.2016588906168999,0.5444015444015444,0.7320954907161803,0.39004149377593356,0.4173913043478261,0.24137931034482762,0.07446808510638303,0.35126672359806443,0.0,0.009569377990430672,0.0018676073874248633,0.08295006570302244,0.6599999999999999,0.18181818181818188
3/7/20,3.5,0.0,0.19999999999999996,0.0,0.6666666666666667,0.0,0.22413793103448265,0.0,0.0,0.1200000000000001,0.26898188093183784,0.25,0.4532924961715161,0.19253731343283587,0.2638036809815951,0.36111111111111116,0.5940594059405941,0.22666947545818417,0.0,0.009478672985782088,0.0010948041188305613,0.06795085696951308,0.12048192771084332,0.07692307692307687
3/8/20,0.0,0.0,0.16666666666666674,0.09090909090909083,0.0,0.0,0.16901408450704225,1.6666666666666665,0.0,0.03571428571428581,0.2536121026687064,0.3460000000000001,0.18651211801896728,0.3016270337922402,0.325242718446602,0.19727891156462585,0.26086956521739135,0.12759745835479985,0.0,0.0046948356807512415,0.0006059172996777384,0.03877290157648061,0.06451612903225801,0.3571428571428572
3/9/20,0.0,0.0,0.0,0.5833333333333333,0.19999999999999996,0.0,0.0,0.0,0.0,0.17241379310344818,0.24366101694915243,0.5943536404160477,0.07371225577264662,0.13076923076923075,0.17582417582417587,0.1647727272727273,0.2216748768472907,0.0906183368869935,0.0,0.0,0.0005317027781470696,0.02242275088870649,0.18181818181818188,0.26315789473684204
3/10/20,0.5555555555555556,0.0,0.5714285714285714,0.3157894736842106,0.0,0.0,0.3975903614457832,0.25,0.0,0.05882352941176472,0.10651984300043615,0.5796831314072692,0.4755996691480562,0.2389455782312926,0.190031152647975,0.9512195121951219,0.43145161290322576,0.12302751012428437,0.0,0.002336448598130758,0.00025094843747686113,0.004680395827761474,0.10256410256410264,0.14583333333333326
3/11/20,0.0,0.5,1.0,1.2000000000000002,0.16666666666666674,0.0,0.6379310344827587,1.0,0.0,0.13888888888888884,0.22790422701744006,0.343362831858407,0.2785874439461884,0.3095401509951956,0.19371727748691092,0.4950000000000001,0.408450704225352,0.11912459587167379,0.0,0.013986013986013957,0.00019185360094442494,0.03221083455344065,0.15503875968992253,0.18181818181818188
3/12/20,0.2857142857142858,-0.33333333333333337,0.2272727272727273,0.7272727272727273,0.2857142857142858,0.0,0.42105263157894735,0.10000000000000009,0.0,0.024390243902439046,0.0,0.0,0.0,0.08909853249475885,0.0,0.17391304347826098,0.19799999999999995,0.11944444444444446,0.0,0.0,0.00011804110781588051,0.01470019342359774,0.0,0.0
